fips_code,county_name,factor1_score,factor1_decile,factor1_quintile,tech_tablet,tech_smartphone,tech_desklaptop,hb_smoking,hb_alcohol,hb_active,hb_inactive,hb_fv_high,hb_fv_low,hb_obese_percent,oc_good_health,oc_poor_physicalhealth,oc_poor_mentalhealth,dem_women,dem_hispanic,dem_age,dem_veteran,food_desert,walkabilitiy,transit_distance,urban_rural,state,county_code
85618,Pinal,7085.5859,2,1,48.119999,63.830002,52.209999,40.400002,19,18.799999,32.400002,13.6,20.1,32.400002,40.900002,16.299999,12.1,49.5,76.5,53,9.4099998,1,4.0825,,3,AZ,4021
85619,Pima,6508.3076,2,1,53.57,100,53.57,41,,24.1,24.1,,,28.9,53,,,57.139999,0,61,20,0,3.915,,1,AZ,4019
85620,Cochise,7053.8413,2,1,57.720001,72.900002,38.75,41.700001,19.700001,19.299999,30.799999,14.2,18.700001,31.5,44.299999,16.299999,12.4,61.830002,93.599998,29,1.95,1,6.1700001,,7,AZ,4003
85621,Santa Cru,5402.936,1,1,43.27,72.449997,56.459999,34.5,19,18.4,34.400002,13.9,22.6,33.400002,36.299999,15.9,12.3,52.209999,92.980003,37,2.05,2,6.2457142,,4,AZ,4023
85622,Pima,11398.104,6,3,61.889999,77.410004,87.860001,49.5,11.6,19,31.5,14.4,14,27.4,44.900002,18.799999,8.3999996,54.59,2.8900001,73,19.34,2,5.1185713,,2,AZ,4019
85623,Pinal,10249.71,5,3,51,76.989998,82.169998,40.900002,19.6,20.299999,29.4,14.5,17.799999,31.299999,45.599998,15.4,11.6,44.169998,28.99,62,20.610001,0,4.0320001,,2,AZ,4021
85624,Santa Cru,7127.6772,2,1,45.720001,80.139999,81.510002,45.900002,18.1,19,30.4,14.1,16.9,31.4,45.5,17.4,11.7,53.07,28.709999,50,5.4699998,0,4.8340001,,10,AZ,4023
85625,Cochise,8120.4141,3,2,49.200001,68.139999,82.360001,46.5,18.200001,19.6,30,13.9,17.1,30.6,46.299999,16.9,11.6,50.889999,17.67,60,13.15,1,4.1999998,,10,AZ,4003
85626,Cochise,6631.9043,2,1,73.559998,88.120003,77.010002,36.200001,19.700001,19.4,32.200001,13.6,21.4,32.099998,40.099998,15.2,12.2,49.200001,97.309998,32,7.73,0,7.25,,4,AZ,4003
85627,Cochise,11168.943,6,3,69.650002,80.669998,81.5,46,20.1,20.200001,28.6,14.2,16.700001,30.4,48.900002,16,12.4,51.82,21.049999,43,14.25,0,5.25,,7,AZ,4003
